-179.5,138.5,-83
-199.5,150.5,-79
-228,143,-72
-143.5,162,-75
-119.5,231.5,-74
-136.5,201.5,-80
-189,139.5,-67
-161.5,163.5,-57
-197.5,251,-66
-180.5,218.5,-68
-217.5,199.5,-55
-118.5,154,-84
-133,184,-50
-220,176.5,-61
-113.5,200.5,-85
-127,243.5,-91
-221,219,-92
-216.5,240.5,-87
20.5,104.5,-234
-2.5,83,-231
-2.5,120,-231
53,93,-230
48.5,54,-232
-19,34,-229
-6,19.5,-232
91,34.5,-228
25,72,-223
23.5,27.5,-223
22,49,-225
45,-0.5,-227
100,6,-229
51.5,74.5,-222
-6.5,50.5,-211
-20,133,-221
109.5,122.5,-223
63,51.5,-202
-21.5,55.5,-204
-24.5,77,-204
33.5,71,-194
72.5,3,-194
46.5,18,-189
70,15,-187
104,47.5,-189
20,40,-188
-20.5,31,-189
-17,8.5,-198
10.5,95.5,-193
99.5,46.5,-211
88.5,30,-211
21.5,127.5,-205
22,120,-183
-23,96,-183
110,6,-176
107,59.5,-178
122,82,-177
92,105,-173
32.5,74.5,-175
32,35,-170
-3,102,-169
-26.5,56.5,-165
-22.5,0.5,-156
23,11.5,-152
112.5,55.5,-151
96,28,-145
-14,68.5,-144
15,118.5,-138
-3.5,49,-137
45.5,41.5,-135
1.5,22.5,-130
40.5,88,-128
6.5,79.5,-121
14.5,59,-122
67,43,-125
51,64,-123
-24,108,-115
88,70.5,-132
10.5,116,-161
56.5,97,-130
44,102.5,-135
113.5,90.5,-133
107.5,107.5,-130
-23,87,-137
48,97.5,-113
81,129.5,-118
107,52.5,-116
70,2,-107
120,36,-110
121,65,-107
110,92,-106
7.5,68,-99
19,14,-95
3,11,-94
0,108.5,-102
86.5,77,-80
39.5,120.5,-105
99,133,-97
189.5,97.5,-227
187.5,73.5,-227
120.5,36,-227
169.5,17,-227
164.5,43,-224
169,80,-221
147,119.5,-221
137.5,37,-211
149.5,5.5,-207
134,78,-200
200.5,-1.5,-196
178.5,63,-193
209.5,43,-182
198,25,-182
198.5,8,-176
228.5,74.5,-176
173.5,84.5,-173
147,20,-161
235,7,-161
142,111.5,-157
191.5,119.5,-150
119.5,136.5,-150
112,51.5,-150
231,22.5,-148
236,94,-148
220.5,91.5,-148
136,39.5,-144
220.5,19,-132
187,113,-131
147.5,13.5,-128
210,14,-121
212,73,-118
152,67,-118
208,121,-114
159.5,113.5,-114
154,94.5,-120
229.5,112,-110
232.5,61.5,-125
155.5,40.5,-115
232,67,-101
234.5,17,-103
170,11,-110
185.5,73,-80
140.5,65.5,-140
117,101.5,-166
176,122,-167
105,188.5,-226
200,234.5,-219
166,248,-207
139,242,-204
177.5,154,-197
155,136,-197
177.5,162.5,-184
139,163.5,-184
111,165.5,-184
124,202.5,-186
205.5,210,-183
128.5,238,-181
197.5,161.5,-177
108.5,160,-167
121.5,255,-169
139.5,202.5,-154
223,157.5,-149
216,173.5,-148
122,201.5,-149
163.5,250,-148
131.5,140.5,-145
194,147,-127
230,169.5,-130
226.5,195.5,-128
217,246,-136
179.5,207.5,-140
123.5,138,-161
130,253.5,-142
113,169,-132
158.5,190,-121
190,180.5,-120
190.5,198,-114
156.5,115,-97
161.5,136,-100
121,201,-99
203.5,225.5,-95
209.5,159.5,-92
157.5,181.5,-90
144.5,233.5,-85
186,236,-128
198.5,233.5,-122
176,220.5,-123
126,240,-122
232,255.5,-113
92,177.5,-172
100.5,211.5,-200
20.5,236.5,-221
39.5,252.5,-219
49.5,219,-207
-22,201,-194
95,157,-196
40,195,-184
63.5,162.5,-184
-11,144.5,-184
63,139,-183
-10,249,-168
-11,214,-161
38.5,236,-161
36,192,-161
-17,230.5,-152
91.5,160,-145
55.5,157.5,-150
-1.5,194.5,-143
15,159.5,-143
53,196,-143
55.5,228,-143
-5.5,137,-140
-11,206,-137
79,181.5,-136
71.5,175,-130
52,146,-127
56,175.5,-124
63.5,223.5,-123
-23,218,-121
-1,136,-119
81,210,-119
40.5,207.5,-113
76.5,186.5,-112
27.5,151.5,-106
18.5,181.5,-120
2,116.5,-120
-5.5,150.5,-105
85.5,233,-104
50.5,210.5,-98
81,190,-93
48.5,169.5,-92
-13,171.5,-91
26.5,247,-96
-20.5,243,-99
95,195.5,-155
-18.5,209,-87
72,184.5,-157
-22.5,219,-176
-26.5,129.5,-177
14.5,146.5,-207
